date,ad_id,campaign_name,adset_name,ad_name,impressions,clicks,spend,conversions,thruplay,광고목적
2026-07-19,120243940488790659,[빙과_파인트_초코] 26.02_복요파출시_수동_전환_video_전체타겟,쩜오건_3월 3주차,[26.03]F_V_P초_전환_복요파출시_쩜오건_밈활용_var1.릴스_기본.03_00_이봄_260320_1T_이봄1,6007,206,84626,19,310,전환
2026-07-19,120245277282320659,[빙과_파인트_망고] 26.04_망요파출시_수동_전환_video_전체타겟,4월 3주차_쩜오건_마미케어BP(3),[26.04]F_V_P망_전환_망요파출시_쩜오건_마미케어BP_main.릴스_기본.가격구성집중.재원PJ1_1C_최재원_260417_1T_최재원,9143,442,169980,67,659,전환
2026-07-19,120245678853640659,[빙과_파인트_망고] 26.04_망요파출시_ASC_전환_video_전체타겟_4월 4주차_유인맨즈BP/전라도청년BP,[파인트_망고] 26.04_망요파출시_ASC_전환_video_전체타겟_4월 4주차_유인맨즈BP/전라도청년BP,[26.04]F_V_P망_전환_망요파출시_네고형_관계성네고형_var1.릴스_규모감.X_1C_고가영_260424_1T_이미진,26888,1260,192916,58,6495,전환
2026-07-19,120246025850610659,[빙과_파인트] 26.04_파인트990원_수동_전환_video_전체타겟,4월 5주차_네고형,[26.05]F_V_P혼_전환_파인트990원_네고형_기본네고형_var1.릴스_악플읽기.재원PJ1_1C_문선정_260501_1T_최재원,4100,150,32848,4,579,전환
2026-07-19,120247050054740659,[빙과_스틱바_듬뿍바] 26.05_듬뿍바출시_수동_전환_video_전체타겟,5월 2주차_딸듬바_네고형,[26.05]F_V_DB딸_전환_듬뿍바출시이벤트_네고형_네고형_main.릴스_딸기주물럭.현경PJ1_2C_허재희_260514_2T_노현경,1338,33,15680,3,150,전환
2026-07-19,120247551338690659,[빙과_파인트] 26.04_파인트990원_수동_전환_video_전체타겟,5월 3주차_파르셀BP,[26.05]F_V_P애_전환_파인트990원_신규BP_파르셀BP_main.릴스_본론.X_1C_고가영_260522_1T_이봄1,8778,458,83879,26,1480,전환
2026-07-19,120248107784080659,[빙과_스틱바_키위듬뿍] 26.05_듬뿍바출시_ASC_전환-video_전체타겟_인플루언서형,[스틱바_키위듬뿍] 26.05_듬뿍바출시_ASC_전환-video_전체타겟_인플루언서형,[26.05]F_V_DB키_전환_듬뿍바출시이벤트_인플루언서형_인플루언서형_var2.릴스_씨강조.현경PJ1_2C_허재희_260529_2T_유영현,1936,57,31157,6,122,전환
2026-07-19,120248458936850659,[빙과_파인트_셔벗] 26.06_셔벗리뉴얼특가_ASC_전환_video_전체타겟_6월 1주차_꼬막BP,[파인트_셔벗] 26.06_셔벗리뉴얼특가_ASC_전환_video_전체타겟_6월 1주차_꼬막BP,[26.06]F_V_P혼_전환_셔벗리뉴얼특가_기타_꼬막BP_var1.릴스_대세감.X_1P_고가영_260602_빙과_강다빈,3844,67,28098,3,340,전환
2026-07-19,120248126973170659,[빙과_스틱바_멜론쫀득] 26.05_쫀득바출시_ASC_전환_video_전체타겟_공구네고형,[스틱바_멜론쫀득] 26.05_쫀득바출시_ASC_전환_video_전체타겟_공구네고형,[26.05]F_V_JD멜_전환_쫀득바출시_네고형_공구네고형_var5.릴스_BP.진수.X_2C_김유진_260529_2T_피재은,2373,102,23836,5,561,전환
2026-07-19,120248737492450659,[빙과_스틱바_멜론쫀득] 26.05_쫀득바출시_수동_전환_video_전체타겟,[멜론] 6월 1주차_맛인지형,[26.06]F_V_JD멜_전환_쫀득바출시_맛인지형_우베BP_var2.릴스_쫀득.X_2P_김유진_260605_빙과_김지연,990,27,13356,4,74,전환
